variable,VIF
promedio_alcohol,3.1334692700337547
indice_compromiso_academico,3.0805763610760417
indice_riesgo_social,2.9917553622866198
indice_apoyo_educativo,2.2636728867182225
indice_riesgo_academico,1.8573694296940435
genero,1.357157516803984
edad,1.2434420869610672
nivel_educativo_parental,1.2427546109889376
domicilio,1.2244785590417484
clases_particulares_pagadas,1.188351669133657
tiempo_libre,1.1883415430865965
tiempo_viaje_colegio,1.186291664556549
internet_en_casa,1.140622234515205
actividades_extracurriculares,1.0896385918729832
calidad_relacion_familiar,1.0786019773818418
asistio_a_guarderia,1.076698822469368
estado_salud,1.061139924859787
estado_convivencia_padres,1.0581259175078943
