variable,VIF_Constante,VIF_Sin_Constante
nivel_educativo_parental,1.8265157237616951,1.8265157237616951
indice_compromiso_academico,1.8115953199280233,1.8115953199280233
madre_trabaja_teacher,1.7773495954491407,1.7773495954491443
indice_riesgo_academico,1.695581302362567,1.6955813023625677
tutor_legal_other,1.6807928047392628,1.680792804739262
edad,1.579653234730738,1.579653234730739
razon_eleccion_escuela_reputation,1.4537705645422678,1.4537705645422647
escuela_MS,1.433574724236657,1.4335747242366568
tutor_legal_mother,1.418362633637313,1.4183626336373139
madre_trabaja_services,1.3839600312150395,1.383960031215038
razon_eleccion_escuela_home,1.3791629536483407,1.379162953648339
madre_trabaja_health,1.347793681921175,1.347793681921175
domicilio,1.3371076157154562,1.3371076157154556
genero,1.3277052092782005,1.3277052092782013
indice_riesgo_social,1.326175764294629,1.3261757642946292
padre_trabaja_teacher,1.3086996041855703,1.3086996041855716
tiempo_viaje_colegio,1.2565067889421337,1.2565067889421337
tiempo_libre,1.2551022982413305,1.2551022982413322
padre_trabaja_services,1.24735340557665,1.2473534055766478
razon_eleccion_escuela_other,1.2383882389307554,1.2383882389307541
clases_particulares_pagadas,1.2321124421851999,1.2321124421851986
padre_trabaja_health,1.1896011697829825,1.1896011697829798
internet_en_casa,1.1826315821821418,1.182631582182141
estado_salud,1.1220640145517984,1.122064014551798
tamano_familia_LE3,1.1218564996909735,1.1218564996909735
asistio_a_guarderia,1.120325033088714,1.1203250330887122
estado_convivencia_padres,1.1197132456362004,1.1197132456361996
actividades_extracurriculares,1.1174527442587254,1.117452744258724
calidad_relacion_familiar,1.0896430295820356,1.0896430295820347
