Variable,Correlacion
nivel_educativo_parental,0.20522443411453842
domicilio,0.10575606393084062
genero,0.10345564746639284
clases_particulares_pagadas,0.10199624071669916
internet_en_casa,0.09848337126072897
indice_compromiso_academico,0.06425290647844097
asistio_a_guarderia,0.051567900910917605
calidad_relacion_familiar,0.0513634288812822
actividades_extracurriculares,0.016099701295814218
tiempo_libre,0.011307240308312975
estado_convivencia_padres,-0.058008984959311366
estado_salud,-0.06133460487712118
tiempo_viaje_colegio,-0.11714205281614884
indice_riesgo_social,-0.14647663265239985
edad,-0.1615794381383403
indice_riesgo_academico,-0.30031642681730253
