genero,edad,domicilio,estado_convivencia_padres,educacion_madre,educacion_padre,tiempo_viaje_colegio,tiempo_estudio_semanal,nro_materias_reprobadas,apoyo_educativo_extra,apoyo_educativo_familiar,clases_particulares_pagadas,actividades_extracurriculares,asistio_a_guarderia,quiere_cursar_educacion_superior,internet_en_casa,relacion_amorosa,calidad_relacion_familiar,tiempo_libre,salidas_con_amigos,alcohol_dias_laboral,alcohol_fin_semana,estado_salud,ausencias,nota_periodo1,nota_periodo2,nota_final,promedio_periodos,evolucion_academica,promedio_notas,indice_apoyo_educativo,promedio_alcohol,rendimiento_alto,indice_riesgo_academico,nivel_educativo_parental,indice_compromiso_academico,indice_riesgo_social,escuela_MS,tamano_familia_LE3,madre_trabaja_health,madre_trabaja_other,madre_trabaja_services,madre_trabaja_teacher,padre_trabaja_health,padre_trabaja_other,padre_trabaja_services,padre_trabaja_teacher,razon_eleccion_escuela_home,razon_eleccion_escuela_other,razon_eleccion_escuela_reputation,tutor_legal_mother,tutor_legal_other
0,0.4285714285714284,1,0,1.0,1.0,1.0,0.3333333333333333,0.0,1,0,0,0,1,1,0,0,0.75,0.5,0.75,0.0,0.0,0.5,0.25,0.125,0.3157894736842105,0.30000000000000004,0.2058823529411765,0.5,0.24074074074074076,0.5,-0.3333333333333333,0,0.0,1.0,0.5,0.33333333333333337,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0.2857142857142856,1,1,0.25,0.25,0.0,0.3333333333333333,0.0,0,1,0,0,0,1,1,0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.125,0.2631578947368421,0.30000000000000004,0.17647058823529413,0.0,0.2222222222222222,0.5,-0.3333333333333333,0,-0.5,0.14285714285714285,0.5,0.2222222222222222,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0.0,1,1,0.25,0.25,0.0,0.3333333333333333,3.0,1,0,1,0,1,1,1,0,0.75,0.5,0.25,1.0,0.5,0.5,0.75,0.25,0.42105263157894735,0.5,0.32352941176470584,0.5,0.3888888888888889,0.5,0.6666666666666666,0,3.0,0.14285714285714285,0.5,0.2777777777777778,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
0,0.0,1,1,1.0,0.5,0.0,0.6666666666666667,0.0,0,1,1,1,1,1,1,1,0.5,0.25,0.25,0.0,0.0,1.0,-0.25,0.75,0.7368421052631579,0.75,0.7352941176470588,-0.5,0.7407407407407407,0.5,-0.3333333333333333,1,-1.0,0.7142857142857142,0.6666666666666666,0.2222222222222222,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
0,0.1428571428571428,1,1,0.75,0.75,0.0,0.3333333333333333,0.0,0,1,1,0,1,1,0,0,0.75,0.5,0.25,0.0,0.25,1.0,0.0,0.1875,0.5263157894736842,0.5,0.3529411764705882,2.0,0.40740740740740733,0.5,0.0,0,-0.5,0.7142857142857142,0.5,0.16666666666666663,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1,0.1428571428571428,1,1,1.0,0.75,0.0,0.3333333333333333,0.0,0,1,1,1,1,1,1,0,1.0,0.75,0.25,0.0,0.25,1.0,0.75,0.75,0.7894736842105263,0.75,0.7647058823529411,0.0,0.7592592592592592,0.5,0.0,1,0.0,0.8571428571428572,0.5,0.16666666666666663,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
1,0.1428571428571428,1,1,0.5,0.5,0.0,0.3333333333333333,0.0,0,0,0,0,1,1,1,0,0.75,0.75,0.75,0.0,0.0,0.5,-0.5,0.5625,0.631578947368421,0.55,0.588235294117647,0.0,0.574074074074074,0.0,-0.3333333333333333,0,-0.5,0.42857142857142855,0.33333333333333337,0.33333333333333337,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
0,0.2857142857142856,1,0,1.0,1.0,1.0,0.3333333333333333,0.0,1,1,0,0,1,1,0,0,0.75,0.0,0.75,0.0,0.0,0.0,0.25,0.1875,0.2631578947368421,0.30000000000000004,0.2058823529411765,-0.5,0.24074074074074076,1.0,-0.3333333333333333,0,0.0,1.0,0.6666666666666666,0.33333333333333337,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
1,0.0,1,0,0.75,0.5,0.0,0.3333333333333333,0.0,0,1,1,0,1,1,1,0,0.75,0.25,0.25,0.0,0.0,0.0,-0.5,0.8125,0.9473684210526315,0.9500000000000001,0.8823529411764706,1.0,0.9074074074074074,0.5,-0.3333333333333333,1,-0.5,0.5714285714285714,0.5,0.1111111111111111,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0.0,1,1,0.75,1.0,0.0,0.3333333333333333,0.0,0,1,1,1,1,1,1,0,1.0,1.0,0.0,0.0,0.0,1.0,-0.5,0.6875,0.7894736842105263,0.75,0.7352941176470588,0.5,0.7407407407407407,0.5,-0.3333333333333333,1,-0.5,0.8571428571428572,0.5,0.0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
